"time","tp"
200202181600,0.068065012
200202181700,0.198012451
200202181800,0.127753941
200202181900,0.015181999
200202182000,0.00409125
200202182100,0.031728399
200202182200,0.050201466
200202182300,0.114515955
200202190000,0.410577399
200202190100,0.78303623
200202190200,0.472048414
200202190300,0.558891683
200202190400,0.287347706
200202190500,0.079269135
200202190600,0.111502661
200202190700,0.253448961
200202190800,0.341327279
200202190900,0.390171888
200202191000,0.338447164
200202191100,0.264608883
200202191200,0.271332217
200202191300,0.421390519
200202191400,0.449337997
200202191500,0.204558601
200202191600,0.554901781
200202191700,0.533421524
200202191800,2.201396972
200202191900,0.546183903
200202192000,0.213909661
200202192100,0.159838353
200202192200,0.061531464
200202192300,0.088424764
200202200000,0.135545735
200202200100,1.057693153
200202200200,1.19930692
200202200300,0.604419853
200202200400,1.45555113
200202200500,1.71896629
200202200600,1.433224999
200202200700,1.153657329
200202200800,0.921669649
200202200900,0.519881723
200202201000,0.412786147
200202201100,0.343580265
200202201200,0.410428969
200202201300,0.542388298
200202201400,0.538681401
200202201500,0.762348063
200202201600,0.1700219
200202201700,0.068255227
200202201800,0.0167943
200202201900,0.006503797
200202202000,0.004835028
200202202100,0.01982606
200202202200,0.027236856
200202202300,0.038681341
200202210000,0.064592321
200202210100,0.091713613
200202210200,0.197764719
200202210300,0.601425883
200202210400,0.823344453
200202210500,0.960543985
200202210600,0.563415932
200202210700,0.407176442
200202210800,0.321284402
200202210900,0.189381419
200202211000,0.108510307
200202211100,0.120326942
200202211200,0.113582886
200202211300,0.053739619
200202211400,0.070305563
200202211500,0.178641058
200202211600,0.048579153
200202211700,0.059680387
200202211800,0.054233205
200202211900,0.01673607
200202212000,0.006370375
200202212100,0.002260083
200202212200,0.004072062
200202212300,0.011138764
200202220000,0.004872978
200202220100,0.002326984
200202220200,0.102253929
200202220300,0.104740611
200202220400,0.138739706
200202220500,0.198609312
200202220600,0.199429807
200202220700,0.095001196
200202220800,0.078370314
200202220900,0.066545086
200202221000,0.052679585
200202221100,0.034732635
200202221200,0.02738944
200202221300,0.043163447
200202221400,0.012054428
200202221500,0.005807966
200202221600,0.026626229
200202221700,0.01777619
200202221800,0.024728302
200202221900,0.01034727
200202222000,0.009460644
200202222100,0.058411446
200202222200,0.070055576
200202222300,0.015983285
200202230000,0.014018733
200202230100,0.011071876
200202230200,0.007133357
200202230300,0.003471348
200202230400,0.045138375
200202230500,0.129969441
200202230600,0.142275821
200202230700,0.155137503
200202230800,0.140765798
